Population Size,Tournament Size,Crossover Rate,Best Value for Solution Found,Generation Solution Found
100,10,0.01,0.002512562814070352,699
100,10,0.02,0.0024271844660194173,600
100,10,0.03,0.0025252525252525255,491
100,10,0.04,0.002512562814070352,439
100,10,0.05,0.002403846153846154,187
100,10,0.06,0.0024390243902439024,308
100,10,0.07,0.0024509803921568627,939
100,10,0.08,0.0024875621890547263,940
100,10,0.09,0.0025,588
100,10,0.09,0.002457002457002457,567
100,10,0.11,0.002457002457002457,653
100,10,0.12,0.0024449877750611247,49
100,10,0.13,0.002380952380952381,235
100,10,0.14,0.0024691358024691358,94
100,10,0.15,0.0024096385542168677,494
100,10,0.16,0.0025906735751295338,329
100,10,0.17,0.0024330900243309003,700
100,10,0.18,0.002398081534772182,809
100,10,0.19,0.0024752475247524753,695
100,10,0.2,0.002544529262086514,72
100,10,0.21,0.0024509803921568627,289
100,10,0.22,0.0024449877750611247,387
100,10,0.23,0.002398081534772182,295
100,10,0.24,0.002369668246445498,651
100,10,0.25,0.0024449877750611247,359
100,10,0.26,0.002380952380952381,759
100,10,0.27,0.002631578947368421,833
100,10,0.28,0.0024752475247524753,822
100,10,0.29,0.0024330900243309003,584
100,10,0.3,0.0024691358024691358,623
100,10,0.31,0.0025575447570332483,882
100,10,0.32,0.002506265664160401,238
100,10,0.33,0.002551020408163265,233
100,10,0.34,0.0024875621890547263,336
100,10,0.35,0.0024509803921568627,631
100,10,0.36,0.0024875621890547263,581
100,10,0.37,0.0024691358024691358,257
100,10,0.38,0.0024096385542168677,138
100,10,0.39,0.0024813895781637717,256
100,10,0.4,0.0024509803921568627,301
100,10,0.41,0.0025188916876574307,640
100,10,0.42,0.0024271844660194173,730
100,10,0.43,0.0024813895781637717,494
100,10,0.44,0.0023923444976076554,494
100,10,0.45,0.0024630541871921183,542
100,10,0.46,0.0025974025974025974,77
100,10,0.47,0.0024752475247524753,62
100,10,0.48,0.002512562814070352,94
100,10,0.49,0.0025575447570332483,187
100,10,0.5,0.002369668246445498,850
100,10,0.51,0.0024937655860349127,975
100,10,0.52,0.0025252525252525255,866
100,10,0.53,0.0024390243902439024,332
100,10,0.54,0.002380952380952381,583
100,10,0.55,0.0025380710659898475,601
100,10,0.56,0.002544529262086514,231
100,10,0.57,0.0025,245
100,10,0.58,0.0024154589371980675,528
100,10,0.59,0.002457002457002457,765
100,10,0.6,0.0024875621890547263,265
100,10,0.61,0.002551020408163265,559
100,10,0.62,0.002347417840375587,436
100,10,0.63,0.0024813895781637717,534
100,10,0.64,0.0024875621890547263,322
100,10,0.65,0.002403846153846154,978
100,10,0.66,0.0025252525252525255,560
100,10,0.67,0.002544529262086514,682
100,10,0.68,0.0024096385542168677,722
100,10,0.69,0.002403846153846154,457
100,10,0.70,0.002398081534772182,781
100,10,0.71,0.002544529262086514,472
100,10,0.72,0.002380952380952381,100
100,10,0.73,0.0024096385542168677,66
100,10,0.74,0.0024509803921568627,901
100,10,0.75,0.0024271844660194173,719
100,10,0.76,0.0024875621890547263,201
100,10,0.77,0.002398081534772182,627
100,10,0.78,0.002380952380952381,594
100,10,0.79,0.0024154589371980675,523
100,10,0.8,0.0024330900243309003,304
100,10,0.81,0.0024509803921568627,816
100,10,0.82,0.0024813895781637717,81
100,10,0.83,0.0024390243902439024,437
100,10,0.84,0.0024449877750611247,839
100,10,0.85,0.0025252525252525255,917
100,10,0.86,0.0024154589371980675,829
100,10,0.87,0.0024813895781637717,236
100,10,0.88,0.0024390243902439024,146
100,10,0.89,0.0025,682
100,10,0.9,0.002386634844868735,141
100,10,0.91,0.0024691358024691358,783
100,10,0.92,0.0023923444976076554,63
100,10,0.93,0.0024330900243309003,892
100,10,0.94,0.0024630541871921183,358
100,10,0.95,0.0024390243902439024,148
100,10,0.96,0.0024096385542168677,609
100,10,0.97,0.0024330900243309003,979
100,10,0.98,0.0024752475247524753,136
100,10,0.99,0.0023923444976076554,465
100,10,1.0,0.0025906735751295338,956
