Population Size,Tournament Size,Crossover Rate,Best Value for Solution Found,Generation Solution Found
100,10,0.01,482,26
100,10,0.02,482,354
100,10,0.03,478,883
100,10,0.04,482,817
100,10,0.05,477,32
100,10,0.060000000000000005,482,36
100,10,0.06999999999999999,482,63
100,10,0.08,482,555
100,10,0.09,482,107
100,10,0.09999999999999999,482,103
100,10,0.11,482,516
100,10,0.12,481,365
100,10,0.13,482,556
100,10,0.14,482,44
100,10,0.15000000000000002,478,999
100,10,0.16,482,731
100,10,0.17,482,844
100,10,0.18000000000000002,482,53
100,10,0.19,482,510
100,10,0.2,480,37
100,10,0.21000000000000002,482,408
100,10,0.22,482,82
100,10,0.23,482,894
100,10,0.24000000000000002,481,84
100,10,0.25,481,278
100,10,0.26,482,26
100,10,0.27,482,24
100,10,0.28,481,398
100,10,0.29000000000000004,479,657
100,10,0.3,481,696
100,10,0.31,482,239
100,10,0.32,482,481
100,10,0.33,482,310
100,10,0.34,482,301
100,10,0.35000000000000003,482,234
100,10,0.36000000000000004,482,177
100,10,0.37,477,76
100,10,0.38,479,617
100,10,0.39,482,57
100,10,0.4,482,24
100,10,0.41000000000000003,482,42
100,10,0.42000000000000004,482,118
100,10,0.43,482,474
100,10,0.44,482,75
100,10,0.45,482,86
100,10,0.46,482,170
100,10,0.47000000000000003,482,31
100,10,0.48000000000000004,482,80
100,10,0.49,482,47
100,10,0.5,482,688
100,10,0.51,482,351
100,10,0.52,482,730
100,10,0.53,482,304
100,10,0.54,481,39
100,10,0.55,482,19
100,10,0.56,482,48
100,10,0.5700000000000001,481,268
100,10,0.5800000000000001,482,283
100,10,0.59,482,651
100,10,0.6,482,68
100,10,0.61,481,184
100,10,0.62,482,317
100,10,0.63,482,463
100,10,0.64,480,731
100,10,0.65,482,45
100,10,0.66,481,807
100,10,0.67,482,468
100,10,0.68,482,128
100,10,0.6900000000000001,482,394
100,10,0.7000000000000001,479,68
100,10,0.7100000000000001,482,381
100,10,0.72,481,77
100,10,0.73,482,32
100,10,0.74,482,19
100,10,0.75,482,562
100,10,0.76,482,429
100,10,0.77,480,65
100,10,0.78,482,33
100,10,0.79,482,499
100,10,0.8,481,110
100,10,0.81,482,265
100,10,0.8200000000000001,482,55
100,10,0.8300000000000001,482,293
100,10,0.8400000000000001,482,44
100,10,0.85,481,104
100,10,0.86,482,309
100,10,0.87,482,162
100,10,0.88,482,25
100,10,0.89,481,133
100,10,0.9,482,736
100,10,0.91,482,627
100,10,0.92,479,177
100,10,0.93,481,207
100,10,0.9400000000000001,482,73
100,10,0.9500000000000001,482,579
100,10,0.9600000000000001,481,628
100,10,0.97,481,32
100,10,0.98,481,133
100,10,0.99,482,600
100,10,1.0,482,260
