Population Size,Tournament Size,Crossover Rate,Best Value for Solution Found,Generation Solution Found
100,10,0.01,442,11
100,10,0.02,401,8
100,10,0.03,420,12
100,10,0.04,357,5
100,10,0.05,402,3
100,10,0.060000000000000005,424,13
100,10,0.06999999999999999,381,5
100,10,0.08,453,11
100,10,0.09,430,8
100,10,0.09999999999999999,426,12
100,10,0.11,389,8
100,10,0.12,426,11
100,10,0.13,401,9
100,10,0.14,366,11
100,10,0.15000000000000002,378,8
100,10,0.16,320,4
100,10,0.17,381,7
100,10,0.18000000000000002,416,7
100,10,0.19,415,12
100,10,0.2,400,9
100,10,0.21000000000000002,421,10
100,10,0.22,424,9
100,10,0.23,420,9
100,10,0.24000000000000002,417,9
100,10,0.25,464,10
100,10,0.26,424,9
100,10,0.27,398,6
100,10,0.28,421,9
100,10,0.29000000000000004,405,14
100,10,0.3,393,8
100,10,0.31,353,7
100,10,0.32,427,13
100,10,0.33,406,10
100,10,0.34,437,10
100,10,0.35000000000000003,437,8
100,10,0.36000000000000004,452,11
100,10,0.37,432,14
100,10,0.38,399,11
100,10,0.39,389,10
100,10,0.4,440,8
100,10,0.41000000000000003,455,11
100,10,0.42000000000000004,421,9
100,10,0.43,464,12
100,10,0.44,405,6
100,10,0.45,411,6
100,10,0.46,425,10
100,10,0.47000000000000003,424,10
100,10,0.48000000000000004,454,7
100,10,0.49,412,10
100,10,0.5,405,7
100,10,0.51,419,9
100,10,0.52,451,8
100,10,0.53,421,14
100,10,0.54,390,10
100,10,0.55,377,13
100,10,0.56,374,9
100,10,0.5700000000000001,434,10
100,10,0.5800000000000001,353,6
100,10,0.59,435,16
100,10,0.6,374,10
100,10,0.61,419,8
100,10,0.62,374,11
100,10,0.63,387,6
100,10,0.64,428,9
100,10,0.65,385,9
100,10,0.66,412,11
100,10,0.67,426,11
100,10,0.68,427,13
100,10,0.6900000000000001,369,8
100,10,0.7000000000000001,445,11
100,10,0.7100000000000001,342,9
100,10,0.72,457,10
100,10,0.73,378,10
100,10,0.74,375,3
100,10,0.75,396,7
100,10,0.76,444,8
100,10,0.77,422,9
100,10,0.78,377,9
100,10,0.79,422,9
100,10,0.8,424,9
100,10,0.81,443,13
100,10,0.8200000000000001,430,11
100,10,0.8300000000000001,357,3
100,10,0.8400000000000001,366,7
100,10,0.85,316,7
100,10,0.86,363,5
100,10,0.87,363,7
100,10,0.88,367,6
100,10,0.89,380,5
100,10,0.9,380,5
100,10,0.91,386,7
100,10,0.92,396,9
100,10,0.93,372,7
100,10,0.9400000000000001,401,6
100,10,0.9500000000000001,350,10
100,10,0.9600000000000001,335,8
100,10,0.97,372,13
100,10,0.98,345,10
100,10,0.99,373,13
100,10,1.0,344,4
