Population Size,Tournament Size,Elitism Proportion,Crossover Rate,Mutation Rate,Best Value for Solution Found,Generation Solution Found
200,20,0.01,0.6,0.01,422,177
200,20,0.01,0.6,0.05,432,777
200,20,0.01,0.6,0.1,425,161
200,20,0.01,0.6,0.2,405,59
200,20,0.01,0.6,0.3,391,616
200,20,0.05,0.6,0.01,428,744
200,20,0.05,0.6,0.05,431,652
200,20,0.05,0.6,0.1,426,924
200,20,0.05,0.6,0.2,395,546
200,20,0.05,0.6,0.3,365,110
200,20,0.1,0.6,0.01,424,109
200,20,0.1,0.6,0.05,432,68
200,20,0.1,0.6,0.1,429,171
200,20,0.1,0.6,0.2,412,320
200,20,0.1,0.6,0.3,377,869
200,20,0.2,0.6,0.01,422,230
200,20,0.2,0.6,0.05,432,101
200,20,0.2,0.6,0.1,425,276
200,20,0.2,0.6,0.2,382,24
200,20,0.2,0.6,0.3,378,321
200,20,0.3,0.6,0.01,428,371
200,20,0.3,0.6,0.05,432,129
200,20,0.3,0.6,0.1,427,381
200,20,0.3,0.6,0.2,406,790
200,20,0.3,0.6,0.3,374,582
400,40,0.01,0.6,0.01,432,515
400,40,0.01,0.6,0.05,432,193
400,40,0.01,0.6,0.1,429,49
400,40,0.01,0.6,0.2,420,719
400,40,0.01,0.6,0.3,377,251
400,40,0.05,0.6,0.01,427,874
400,40,0.05,0.6,0.05,432,315
400,40,0.05,0.6,0.1,429,395
400,40,0.05,0.6,0.2,412,969
400,40,0.05,0.6,0.3,381,886
400,40,0.1,0.6,0.01,431,731
400,40,0.1,0.6,0.05,432,68
400,40,0.1,0.6,0.1,431,772
400,40,0.1,0.6,0.2,410,909
400,40,0.1,0.6,0.3,374,219
400,40,0.2,0.6,0.01,424,486
400,40,0.2,0.6,0.05,432,24
400,40,0.2,0.6,0.1,432,576
400,40,0.2,0.6,0.2,411,295
400,40,0.2,0.6,0.3,371,730
400,40,0.3,0.6,0.01,428,89
400,40,0.3,0.6,0.05,432,118
400,40,0.3,0.6,0.1,432,813
400,40,0.3,0.6,0.2,405,404
400,40,0.3,0.6,0.3,399,787
600,60,0.01,0.6,0.01,431,146
600,60,0.01,0.6,0.05,432,439
600,60,0.01,0.6,0.1,432,95
600,60,0.01,0.6,0.2,413,272
600,60,0.01,0.6,0.3,392,659
600,60,0.05,0.6,0.01,427,301
600,60,0.05,0.6,0.05,432,13
600,60,0.05,0.6,0.1,432,219
600,60,0.05,0.6,0.2,417,551
600,60,0.05,0.6,0.3,386,671
600,60,0.1,0.6,0.01,426,46
600,60,0.1,0.6,0.05,432,51
600,60,0.1,0.6,0.1,432,44
600,60,0.1,0.6,0.2,418,213
600,60,0.1,0.6,0.3,406,80
600,60,0.2,0.6,0.01,426,423
600,60,0.2,0.6,0.05,432,26
600,60,0.2,0.6,0.1,432,284
600,60,0.2,0.6,0.2,420,504
600,60,0.2,0.6,0.3,399,84
600,60,0.3,0.6,0.01,431,961
600,60,0.3,0.6,0.05,432,57
600,60,0.3,0.6,0.1,432,334
600,60,0.3,0.6,0.2,414,472
600,60,0.3,0.6,0.3,403,434
800,80,0.01,0.6,0.01,431,831
800,80,0.01,0.6,0.05,432,9
800,80,0.01,0.6,0.1,432,55
800,80,0.01,0.6,0.2,422,971
800,80,0.01,0.6,0.3,409,115
800,80,0.05,0.6,0.01,427,399
800,80,0.05,0.6,0.05,432,286
800,80,0.05,0.6,0.1,432,45
800,80,0.05,0.6,0.2,421,148
800,80,0.05,0.6,0.3,400,593
800,80,0.1,0.6,0.01,431,869
800,80,0.1,0.6,0.05,432,8
800,80,0.1,0.6,0.1,432,150
800,80,0.1,0.6,0.2,417,693
800,80,0.1,0.6,0.3,400,646
800,80,0.2,0.6,0.01,426,38
800,80,0.2,0.6,0.05,432,68
800,80,0.2,0.6,0.1,432,331
800,80,0.2,0.6,0.2,417,143
800,80,0.2,0.6,0.3,401,640
800,80,0.3,0.6,0.01,432,753
800,80,0.3,0.6,0.05,432,74
800,80,0.3,0.6,0.1,432,418
800,80,0.3,0.6,0.2,427,402
800,80,0.3,0.6,0.3,404,874
1000,100,0.01,0.6,0.01,427,66
1000,100,0.01,0.6,0.05,432,25
1000,100,0.01,0.6,0.1,432,38
1000,100,0.01,0.6,0.2,424,937
1000,100,0.01,0.6,0.3,401,766
1000,100,0.05,0.6,0.01,429,883
1000,100,0.05,0.6,0.05,432,15
1000,100,0.05,0.6,0.1,432,18
1000,100,0.05,0.6,0.2,419,265
1000,100,0.05,0.6,0.3,402,739
1000,100,0.1,0.6,0.01,432,740
1000,100,0.1,0.6,0.05,432,15
1000,100,0.1,0.6,0.1,432,54
1000,100,0.1,0.6,0.2,419,713
1000,100,0.1,0.6,0.3,402,892
1000,100,0.2,0.6,0.01,429,876
1000,100,0.2,0.6,0.05,432,41
1000,100,0.2,0.6,0.1,432,77
1000,100,0.2,0.6,0.2,422,934
1000,100,0.2,0.6,0.3,420,952
1000,100,0.3,0.6,0.01,431,158
1000,100,0.3,0.6,0.05,432,47
1000,100,0.3,0.6,0.1,432,244
1000,100,0.3,0.6,0.2,424,506
1000,100,0.3,0.6,0.3,399,472
