Population Size,Tournament Size,Mutation Rate,Best Value for Solution Found,Generation Solution Found
100,10,0.01,474,874
100,10,0.02,479,327
100,10,0.03,482,86
100,10,0.04,482,66
100,10,0.05,481,145
100,10,0.06,479,321
100,10,0.07,473,181
100,10,0.08,473,606
100,10,0.09,466,235
100,10,0.1,470,817
100,10,0.11,472,757
100,10,0.12,453,898
100,10,0.13,462,386
100,10,0.14,468,182
100,10,0.15,461,882
100,10,0.16,434,83
100,10,0.17,451,473
100,10,0.18,439,506
100,10,0.19,441,694
100,10,0.2,430,318
100,10,0.21,425,291
100,10,0.22,424,54
100,10,0.23,434,419
100,10,0.24,415,100
100,10,0.25,420,724
100,10,0.26,430,467
100,10,0.27,407,313
100,10,0.28,408,113
100,10,0.29,419,638
100,10,0.3,407,60
100,10,0.31,403,224
100,10,0.32,408,69
100,10,0.33,430,797
100,10,0.34,438,4
100,10,0.35,402,225
100,10,0.36,403,342
100,10,0.37,423,510
100,10,0.38,417,575
100,10,0.39,420,445
100,10,0.4,413,132
100,10,0.41,405,273
100,10,0.42,411,907
100,10,0.43,420,696
100,10,0.44,402,448
100,10,0.45,403,105
100,10,0.46,416,422
100,10,0.47,441,236
100,10,0.48,418,554
100,10,0.49,398,66
100,10,0.5,416,865
100,10,0.51,422,322
100,10,0.52,407,169
100,10,0.53,444,296
100,10,0.54,413,6
100,10,0.55,421,923
100,10,0.56,411,862
100,10,0.57,399,745
100,10,0.58,417,883
100,10,0.59,408,202
100,10,0.6,412,620
100,10,0.61,422,292
100,10,0.62,410,831
100,10,0.63,385,965
100,10,0.64,439,78
100,10,0.65,407,324
100,10,0.66,401,433
100,10,0.67,423,5
100,10,0.68,401,424
100,10,0.69,413,280
100,10,0.7,403,20
100,10,0.71,411,742
100,10,0.72,398,210
100,10,0.73,426,249
100,10,0.74,413,260
100,10,0.75,409,647
100,10,0.76,398,562
100,10,0.77,417,154
100,10,0.78,409,742
100,10,0.79,409,417
100,10,0.8,394,243
100,10,0.81,406,258
100,10,0.82,413,72
100,10,0.83,408,510
100,10,0.84,407,858
100,10,0.85,421,990
100,10,0.86,394,868
100,10,0.87,422,782
100,10,0.88,417,643
100,10,0.89,461,783
100,10,0.9,434,380
100,10,0.91,446,536
100,10,0.92,438,288
100,10,0.93,470,461
100,10,0.94,460,436
100,10,0.95,473,630
100,10,0.96,473,66
100,10,0.97,482,580
100,10,0.98,482,114
100,10,0.99,481,492
100,10,1.0,419,24
